imdb_title_id,original_titlê,release_year,genre,duration,country,content_rating,director,income,votes,score
tt0111161,The Shawshank Redemption,1995,['Drama'],142,USA,R,Frank Darabont,28815245,2278845,9.3
tt0068646,The Godfather,1972,"['Crime', ' Drama']",175,USA,R,Francis Ford Coppola,246120974,1572674,9.2
tt0050083,12 Angry Men,1957,"['Crime', ' Drama']",96,USA,Not Rated,Sidney Lumet,576,668473,8.9
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002,"['Action', ' Adventure', ' Drama']",178,New Zesland,PG-13,Peter Jackson,887934303,1619920,8.8
tt0060196,"Il buono, il brutto, il cattivo",1966,['Western'],161,Italy,Approved,Sergio Leone,25252481,672499,8.8
tt0099685,Goodfellas,1990,"['Biography', ' Crime', ' Drama']",146,USA,R,Martin Scorsese,46879633,991505,8.7
tt0816692,Interstellar,2014,"['Adventure', ' Drama', ' Sci-Fi']",169,USA,PG-13,Christopher Nolan,696742056,1449256,8.6
tt0114369,Se7en,1995,"['Crime', ' Drama', ' Mystery']",127,USA,R,David Fincher,327333559,1402015,8.6
tt0076759,Star Wars,1977,"['Action', ' Adventure', ' Fantasy']",121,USA,PG,George Lucas,775768912,1204107,8.6
tt0120815,Saving Private Ryan,1998,"['Drama', ' War']",169,USA,R,Steven Spielberg,482349603,1203825,8.6
tt0120689,The Green Mile,2000,"['Crime', ' Drama', ' Fantasy']",189,US.,R,Frank Darabont,286801374,1112336,8.6
tt0317248,Cidade de Deus,2003,"['Crime', ' Drama']",130,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",30680793,685856,8.6
tt0245429,Sen to Chihiro no kamikakushi,2003,"['Animation', ' Adventure', ' Family']",125,Japan,PG,Hayao Miyazaki,355467056,626693,8.6
tt0038650,It's a Wonderful Life,1948,"['Drama', ' Family', ' Fantasy']",130,USA,PG,Frank Capra,6130720,388310,8.6
tt0047478,Shichinin no samurai,1955,"['Action', ' Adventure', ' Drama']",207,Japan,Unrated,Akira Kurosawa,322773,307958,8.6
tt0172495,Gladiator,2000,"['Action', ' Adventure', ' Drama']",155,USA,R,Ridley Scott,465361176,1308193,8.5
tt0407887,The Departed,2006,"['Crime', ' Drama', ' Thriller']",151,USA,R,Martin Scorsese,291465034,1159703,8.5
tt0482571,The Prestige,2006,"['Drama', ' Mystery', ' Sci-Fi']",130,UK,PG-13,Christopher Nolan,109676311,1155723,8.5
tt0088763,Back to the Future,1985,"['Adventure', ' Comedy', ' Sci-Fi']",116,USA,PG,Robert Zemeckis,388774684,1027330,8.5
tt0120586,American History X,1999,['Drama'],119,USA,R,Tony Kaye,23875127,1014218,8.5
tt0103064,Terminator 2: Judgment Day,1991,"['Action', ' Sci-Fi']",137,USA,R,James Cameron,520884847,974970,8.4
tt0114814,The Usual Suspects,1995,"['Crime', ' Mystery', ' Thriller']",106,USA,R,Bryan Singer,23341568,968947,8.4
tt0110357,The Lion King,1994,"['Animation', ' Adventure', ' Drama']",88,USA,G,"Roger Allers, Rob Minkoff",968511805,917248,8.4
tt0253474,The Pianist,2002,"['Biography', ' Drama', ' Music']",150,UK,R,Roman Polanski,120072577,707942,8.4
tt2582802,Whiplash,2015,"['Drama', ' Music']",106,USA,R,Damien Chazelle,48983260,690732,8.4
tt0054215,Psycho,1960,"['Horror', ' Mystery', ' Thriller']",109,USA,R,Alfred Hitchcock,32008644,586765,8.3
tt0064116,C'era una volta il West,1968,['Western'],165,Italy,PG-13,Sergio Leone,112911,295220,8.3
tt0027977,Modern Times,1937,"['Comedy', ' Drama', ' Family']",87,USA,G,Charles Chaplin,457688,211250,8.3
tt1345836,The Dark Knight Rises,2012,"['Action', ' Adventure']",164,UK,PG-13,Christopher Nolan,1081133191,1480582,8.3
tt1853728,Django Unchained,2013,"['Drama', ' Western']",165,USA,R,Quentin Tarantino,425368238,1317856,8.3
tt0209144,Memento,2001,"['Mystery', ' Thriller']",113,USA,R,Christopher Nolan,39970386,1098879,8.2
tt0910970,WALLÂ·E,2008,"['Animation', ' Adventure', ' Family']",98,USA,G,Andrew Stanton,521311860,974734,8.2
tt0081505,The Shining,1980,"['Drama', ' Horror']",146,UK,R,Stanley Kubrick,46520613,869480,8.2
tt0082971,Raiders of the Lost Ark,1981,"['Action', ' Adventure']",115,USA,PG,Steven Spielberg,390133212,865510,8.2
tt0078748,Alien,1979,"['Horror', ' Sci-Fi']",117,UK,R,Ridley Scott,108110316,768874,8.2
tt0078788,Apocalypse Now,1979,"['Drama', ' Mystery', ' War']",147,USA,R,Francis Ford Coppola,91968688,591251,8.2
tt0364569,Oldeuboi,2005,"['Action', ' Drama', ' Mystery']",120,South Korea,R,Chan-wook Park,15002116,501082,8.1
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,['Comedy'],95,UK,PG,Stanley Kubrick,9443876,441115,8.1
tt0405094,Das Leben der Anderen,2007,"['Drama', ' Mystery', ' Thriller']",137,Germany,R,Florian Henckel von Donnersmarck,77356942,349642,8.1
tt0119698,Mononoke-hime,2000,"['Animation', ' Adventure', ' Fantasy']",134,Japan,PG-13,Hayao Miyazaki,169785629,331045,8.0
tt0087843,Once Upon a Time in America,1984,"['Crime', ' Drama']",229,USA,R,Sergio Leone,5472914,302317,8.0
tt0361748,Inglourious Basterds,2009,"['Adventure', ' Drama', ' War']",153,Germany,R,Quentin Tarantino,321455689,1229958,8.0
tt0169547,American Beauty,2000,['Drama'],122,USA,R,Sam Mendes,356296601,1049009,8.0
tt0112573,Braveheart,1995,"['Biography', ' Drama', ' History']",178,USA,R,Mel Gibson,213216216,941683,7.9
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"['Action', ' Adventure', ' Fantasy']",131,USA,PG,Richard Marquand,475347111,928036,7.9
tt0105236,Reservoir Dogs,1992,"['Crime', ' Drama', ' Thriller']",99,USA,R,Quentin Tarantino,2889963,896551,7.9
tt0338013,Eternal Sunshine of the Spotless Mind,2004,"['Drama', ' Romance', ' Sci-Fi']",108,USA,R,Michel Gondry,74036715,889875,7.9
tt0114709,Toy Story,1996,"['Animation', ' Adventure', ' Comedy']",81,USA,G,John Lasseter,404265438,864461,7.9
tt0119217,Good Will Hunting,1998,"['Drama', ' Romance']",126,USA,R,Gus Van Sant,225933435,837379,7.8
tt0208092,Snatch,2001,"['Comedy', ' Crime']",104,UK,R,Guy Ritchie,83557872,766589,7.8
tt0180093,Requiem for a Dream,2000,['Drama'],102,USA,R,Darren Aronofsky,7390108,748291,7.8
tt0435761,Toy Story 3,2010,"['Animation', ' Adventure', ' Comedy']",103,USA,G,Lee Unkrich,1066969703,739717,7.8
tt0086250,Scarface,1984,"['Crime', ' Drama']",170,USA,R,Brian De Palma,66023585,721343,7.8
tt0075314,Taxi Driver,1976,"['Crime', ' Drama']",114,USA,R,Martin Scorsese,28441292,703264,7.7
tt0211915,Le fabuleux destin d'AmÃ©lie Poulain,2002,"['Comedy', ' Romance']",122,France,R,Jean-Pierre Jeunet,173924742,690480,7.7
tt0090605,Aliens,1986,"['Action', ' Adventure', ' Sci-Fi']",137,USA,R,James Cameron,131384634,639500,7.7
tt0062622,2001: A Space Odyssey,1968,"['Adventure', ' Sci-Fi']",149,UK,G,Stanley Kubrick,68989547,587866,7.6
tt0086879,Amadeus,1985,"['Biography', ' Drama', ' History']",160,USA,R,Milos Forman,52066791,361028,7.6
tt2106476,Jagten,2012,['Drama'],115,Denmark,R,Thomas Vinterberg,15843274,269616,7.5
tt0056172,Lawrence of Arabia,1963,"['Adventure', ' Biography', ' Drama']",228,UK,PG,David Lean,45710874,261504,7.5
tt0070735,The Sting,1974,"['Comedy', ' Crime', ' Drama']",129,USA,PG,George Roy Hill,156000000,236285,7.5
tt0082096,Das Boot,1982,"['Adventure', ' Drama', ' Thriller']",149,West Germany,R,Wolfgang Petersen,11487676,226427,7.5
tt1832382,Jodaeiye Nader az Simin,2011,['Drama'],123,Iran,PG-13,Asghar Farhadi,22926076,214165,7.4
